古阜面	지명
高北面	지명
古沙洞	지명
高士洞	지명
高山洞	지명
高山面	지명
古三面	지명
古索洞	지명
古西面	지명
高城郡	지명
固城郡	지명
古城洞	지명
固城邑	지명
姑蘇洞	지명
古水面	지명
高牙邑	지명
古岩洞	지명
高岩面	지명
高陽洞	지명
高陽市	지명
古棧洞	지명
古田面	지명
高梯面	지명
高竹洞	지명
高敞郡	지명
高敞邑	지명
高尺洞	지명
古川洞	지명
高村面	지명
高下洞	지명
古汗邑	지명
古峴洞	지명
高峴洞	지명
古縣面	지명
高興郡	지명
高興邑	지명
曲	〔곡〕굽을
谷	〔곡〕골짜기
穀	〔곡〕곡식
哭	〔곡〕울
鵠	〔곡〕고니, 과녁 〔혹〕고니
梏	〔곡〕쇠고랑, 수갑
斛	〔곡〕휘, 헤아릴
轂	〔곡〕바퀴
縠	〔곡〕주름 비단
觳	〔곡〕뿔잔
槲	〔곡〕떡갈나무
谷伴亭洞	지명
谷成郡	지명
谷成邑	지명
困	〔곤〕괴로울, 곤할
坤	〔곤〕땅
昆	〔곤〕형, 맏.형
棍	〔곤〕몽둥이, 곤장
袞	〔곤〕곤룡포, 천자의 옷
崑	〔곤〕산이름
梱	〔곤〕문지방
鯤	〔곤〕준마 이름, 물고기 알
滾	〔곤〕흐를, 끓는 물
琨	〔곤〕옥돌, 아름다운옥
衮	〔곤〕袞과 同字
閫	〔곤〕문지방
悃	〔곤〕정성
髡	〔곤〕머리 깍을
鵾	〔곤〕댓닭
崐	〔곤〕곤륜산
褌	〔곤〕잠방이
捆	〔곤〕두드릴
堃	〔곤〕따
緄	〔곤〕띠
裍	〔곤〕걷어 올릴
錕	〔곤〕붉은 쇠
鶤	〔곤〕댓닭
齫	〔곤〕이 빠질
丨	〔곤〕뚫다
昆明面	지명
昆陽面	지명
骨	〔골〕뼈
滑	〔골〕어지러울 〔활〕미끄러울, 어지러울
汨	〔골〕골몰할 〔멱〕물이름
鶻	〔골〕송골매
榾	〔골〕등걸
搰	〔골〕팔
工	〔공〕장인
公	〔공〕공변될
功	〔공〕공
空	〔공〕빌
共	〔공〕함께, 한가지
恐	〔공〕두려울
恭	〔공〕공손할, 공순할
供	〔공〕이바지할, 베풀
貢	〔공〕바칠
孔	〔공〕구멍
攻	〔공〕칠
控	〔공〕당길
拱	〔공〕두 손 맞잡을, 팔짱길
鞏	〔공〕묶을, 가죽테
珙	〔공〕큰 옥, 옥이름
蚣	〔공〕지네
跫	〔공〕발자국 소리
倥	〔공〕어리석을
崆	〔공〕산이름
蛩	〔공〕메뚜기
釭	〔공〕굴대
箜	〔공〕공후
悾	〔공〕정성
栱	〔공〕두공
槓	〔공〕지렛대
贛	〔공〕줄
蛬	〔공〕귀뚜라미
龔	〔공〕공손할
廾	〔공〕들다
恭儉面	지명
公根面	지명
工團洞	지명
孔德洞	지명
孔德面	지명
孔道邑	지명
孔陵洞	지명
公山面	지명
功城面	지명
公額共和國	콩고 공화국
公額民主共和國	콩고 민주 공화국
孔音面	지명
公州市	지명
公村洞	지명
公坪洞	지명
公平洞	지명
孔坪洞	지명
空港洞	지명
公和洞	지명
串	〔곶〕땅이름 〔관〕곶 〔천〕꿸
果	〔과〕실과, 과실
過	〔과〕지날
科	〔과〕과정, 과거
課	〔과〕매길, 시험할
寡	〔과〕적을
誇	〔과〕자랑할
瓜	〔과〕오이, 외
戈	〔과〕창
菓	〔과〕과일, 과자
顆	〔과〕낟알, 알갱이
跨	〔과〕타넘을
鍋	〔과〕노구솥
裹	〔과〕쌀
夸	〔과〕자랑할
窠	〔과〕보금자리
夥	〔과〕많을
媧	〔과〕사람 이름 〔왜〕여자이름
撾	〔과〕칠
