ㄲㅚㄵ	꾅
ㄲㅚㄶ	꾆
ㄲㅚㄷ	꾇
ㄲㅚㄹ	꾈
ㄲㅚㄺ	꾉
ㄲㅚㄻ	꾊
ㄲㅚㄼ	꾋
ㄲㅚㄽ	꾌
ㄲㅚㄾ	꾍
ㄲㅚㄿ	꾎
ㄲㅚㅀ	꾏
ㄲㅚㅁ	꾐
ㄲㅚㅂ	꾑
ㄲㅚㅄ	꾒
ㄲㅚㅅ	꾓
ㄲㅚㅆ	꾔
ㄲㅚㅇ	꾕
ㄲㅚㅈ	꾖
ㄲㅚㅊ	꾗
ㄲㅚㅋ	꾘
ㄲㅚㅌ	꾙
ㄲㅚㅍ	꾚
ㄲㅚㅎ	꾛
ㄲㅛ	꾜
ㄲㅛㄱ	꾝
ㄲㅛㄲ	꾞
ㄲㅛㄳ	꾟
